localite_auto_ecole,candidats ETG, réussite ETG,nbr_candidats,reussite,
AUTO ECOLE DES VENNES 35 RUE MONTESQUIEU 01000 BOURG EN BRESSE,36,61.11,17,52.94, 
"AUTO ECOLE TCM 16, RUE DU 4 SEPTEMBRE 01000 BOURG EN BRESSE",43,69.77,18,44.44,
AUTO ECOLE LA BRUYERE MOTO PASSION 56 RUE CHARLES ROBIN 01000 BOURG EN BRESSE,25,64,23,69.57,
AUTO ECOLE EUROP 3 RUE DE LA REPUBLIQUE 01000 BOURG EN BRESSE,52,65.38,39,61.54,
AUTO ECOLE DES LYCEES 6 RUE DU LYCEE 01000 BOURG EN BRESSE,54,57.41,48,54.17,
"AUTO ECOLE JOELLE 3, PLACE PERRIER LABALME 01000 BOURG-EN-BRESSE",75,69.33,49,73.47,
AUTO ECOLE BRESSANE 6 AVENUE ALPHONSE BAUDIN 01000 BOURG EN BRESSE,103,73.79,55,49.09,
AUTO ECOLE BRESSE REVERMONT 72 PLACE DE LA MAIRIE 01000 BOURG-EN-BRESSE,91,84.62,74,79.73,
AUTO ECOLE LA PASSERELLE 8 AVENUE JEAN JAURES 01000 BOURG EN BRESSE,142,80.28,106,51.89,
AUTO ECOLE CFSR SUZON 2 RUE DU LYCEE 01000 BOURG EN BRESSE,383,72.32,229,56.77,
AUTO ECOLE CARRIAT 11 PLACE CARRIAT 01000 BOURG-EN-BRESSE,515,80,308,58.44,
"AUTO ECOLE DE QUAIS 11,QUAI SERRULAZ 01010 SEYSSEL",102,63.73,38,52.63,
AUTO ECOLE DIAZ 17 RUE BICHAT 01100 OYONNAX,48,58.33,18,61.11,
"AUTO ECOLE GISELE 12, PLACE EMILE ZOLA 01100 OYONNAX",49,67.35,40,30,
"AUTO ECOLE PAINLEVE 9, PLACE DES DEPORTES 01100 OYONNAX",133,43.61,47,38.3,
"AUTO ECOLE PHENIX 42 BIS, RUE MICHELET 01100 OYONNAX",92,58.7,48,60.42,
AUTO ECOLE PLASTIQUE VALLEE 17 RUE DU 8 MAI 1945 01100 OYONNAX,85,64.71,50,52,
AUTO ECOLE USO CONDUITE 87 B COURS DE VERDUN 01100 OYONNAX,95,57.89,61,47.54,
AUTO ECOLE GERARD 55 RUE ANATOLE FRANCE 01100 OYONNAX,172,54.07,76,53.95,
"AUTO ECOLE L'AVENIR 49, RUE ANATOLE FRANCE 01100 OYONNAX",139,62.59,87,62.07,
AUTO ECOLE ECOLE DE CONDUITE DE L AIN 21 RUE VOLTAIRE 01100 OYONNAX,181,57.46,95,53.68,
AUTO ECOLE SAINT-JACQUES RUE JOSEPH VIALLAZ 01110 HAUTEVILLE LOMPNES,59,64.41,37,67.57,
AUTO ECOLE L KAISSI MUSTAFA 16 RUE DU DOCTEUR CREPIN 01110 HAUTEVILLE LOMPNES,107,44.86,64,53.13,
AUTO ECOLE DES REMPARTS 50 GRANDE RUE 01120 MONTLUEL,90,38.89,41,53.66,
AUTO ECOLE LA COTIERE 31 PLACE CARNOT 01120 MONTLUEL,315,80,237,59.49,
AUTO ECOLE AUTO ECOLA NANTUA 38 RUE DE L'HOTEL DE VILLE 01130 NANTUA,86,45.35,53,41.51,
"AUTO ECOLE CHAMOISE 62, RUE DU DOCTEUR MERCIER 01130 NANTUA",165,69.09,73,56.16,
AUTO ECOLE SARL AE BRESSE BEAUJOLAIS 69 FAUBOURG DES DOMBES 01140 THOISSEY,114,76.32,23,52.17,
"AUTO ECOLE STOP 13, RUE DE CRENANS 01140 ST DIDIER SUR CHALARONNE",68,54.41,33,48.48,
"AUTO ECOLE LAGNIEU FRANCINE 54, ROUTE DU PORT 01150 LAGNIEU",51,50.98,40,45,
AUTO ECOLE EYMARD 8 PLACE DE LA LIBERTE 01150 LAGNIEU,212,74.06,100,65,
AUTO ECOLE L'@IRE DE CONDUITE 6 RUE BERNARD GANGLOFF 01160 PONT D'AIN,18,55.56,10,60,
AUTO ECOLE ECOLE DE CONDUITE ADL 13 RUE DU 1�SEPTEMBRE 1944 01160 PONT D'AIN,30,76.67,11,72.73,
AUTO ECOLE PRIAYSIENNE 380 GRANDE RUE 01160 PRIAY,22,86.36,13,76.92,
"AUTO ECOLE VOLTAIRE 75, ROUTE DES VERTES CAMPAGNES 01170 GEX",94,58.51,59,25.42,
AUTO ECOLE ECOLE DE CONDUITE DU PAYS DE GEX 22 RUE DES TERREAUX 01170 GEX,189,74.6,94,68.09,
"AUTO ECOLE ARCADES 7, PLACE DES ARCADES 01180 BELLIGNAT",181,51.93,41,34.15,
AUTO ECOLE AUTO- ECOLE LE SAINT ANTOINE 69 RUE DE LATTRE DE TASSIGNY 01190 PONT DE VAUX,54,70.37,24,45.83,
AUTO ECOLE MOREAU - PONT DE VAUX 85 RUE MAL DE LATTRE DE TASSIGNY 01190 PONT DE VAUX,256,71.09,144,56.94,
AUTO ECOLE AUX PORTES DE L AIN 28 RUE LAFAYETTE 01200 BELLEGARDE SUR VALSERINE,91,63.74,52,53.85,
AUTO ECOLE MOTO ECOLE DE LA VALSERINE 39 RUE LAFAYETTE 01200 BELLEGARDE SUR VALSERINE,178,75.84,88,65.91,
"AUTO ECOLE CATIN 181, ROUTE DE VOUVRAY 01200 BELLEGARDE SUR VALSERINE",179,69.27,127,59.06,
AUTO ECOLE FERNEY 66 RUE DE MEYRIN 01210 FERNEY VOLTAIRE,52,51.92,24,41.67,
